course_code,course_title,section,grades_count,avg_gpa,std_dev,median_gpa,pct_A,pct_B,pct_C,pct_D,pct_F,pct_P,pct_I,pct_AU,pct_W_AW,letters_count,term,faculty
WCS 150,Rhetoric and Composition,5L,20,2.68,0.77,3.00,5,70,20,0,5,0,0,0,0,20,FA2023,Thomas Carl Hughes
WCS 150,Rhetoric and Composition,6L,19,3.12,0.42,3.33,20,70,5,0,0,0,0,0,5,20,FA2023,Jane Hoelker
WCS 150,Rhetoric and Composition,7L,20,2.98,0.54,3.00,5,80,10,5,0,0,0,0,0,20,FA2023,Jane Hoelker
WCS 150,Rhetoric and Composition,9L,19,3.17,0.44,3.33,20,65,10,0,0,0,0,0,5,20,FA2023,Zhanar Kabylbekova
WCS 150,Rhetoric and Composition,10L,20,2.83,0.37,3.00,0,90,10,0,0,0,0,0,0,20,FA2023,Tiffany Moore
WCS 150,Rhetoric and Composition,11L,19,3.00,0.46,3.00,15,70,10,0,0,0,0,0,5,20,FA2023,Derek Hopper
WCS 150,Rhetoric and Composition,12L,19,2.98,0.88,3.33,25,50,15,0,5,0,0,0,5,20,FA2023,Zhanar Kabylbekova
WCS 150,Rhetoric and Composition,13L,20,2.60,0.97,3.00,5,70,15,0,10,0,0,0,0,20,FA2023,Tiffany Moore
WCS 150,Rhetoric and Composition,14L,19,3.05,1.19,3.67,50,30,5,0,10,0,0,0,5,20,FA2023,Inzhuna Karazhanova
WCS 150,Rhetoric and Composition,15L,20,2.97,0.34,3.00,10,90,0,0,0,0,0,0,0,20,FA2023,Derek Hopper
WCS 150,Rhetoric and Composition,16L,19,3.26,0.42,3.33,30,60,5,0,0,0,0,0,5,20,FA2023,Jane Hoelker
WCS 150,Rhetoric and Composition,17L,20,2.83,0.51,3.00,0,70,30,0,0,0,0,0,0,20,FA2023,Thomas Carl Hughes
WCS 150,Rhetoric and Composition,18L,20,2.87,0.87,3.17,15,65,15,0,5,0,0,0,0,20,FA2023,Derek Hopper
WCS 150,Rhetoric and Composition,20L,20,3.00,0.39,3.00,10,85,5,0,0,0,0,0,0,20,FA2023,Thomas Carl Hughes
WCS 150,Rhetoric and Composition,22L,20,2.95,0.51,3.00,15,70,15,0,0,0,0,0,0,20,FA2023,Kirk Peterson
WCS 150,Rhetoric and Composition,23L,20,3.30,0.87,3.50,50,40,5,0,5,0,0,0,0,20,FA2023,Kevin Phillips
WCS 150,Rhetoric and Composition,24L,21,3.33,0.28,3.33,33,67,0,0,0,0,0,0,0,21,FA2023,Kevin Phillips
WCS 150,Rhetoric and Composition,25L,19,3.17,0.80,3.33,25,65,0,0,5,0,0,0,5,20,FA2023,Carlos Abaunza
WCS 150,Rhetoric and Composition,26L,19,3.28,0.34,3.33,20,70,5,0,0,0,0,0,5,20,FA2023,Simon Land
WCS 150,Rhetoric and Composition,27L,20,3.35,0.44,3.33,35,60,5,0,0,0,0,0,0,20,FA2023,Simon Land
WCS 150,Rhetoric and Composition,28L,20,3.20,0.64,3.33,40,45,10,5,0,0,0,0,0,20,FA2023,Carlos Abaunza
WCS 150,Rhetoric and Composition,29L,20,3.17,0.38,3.33,20,75,5,0,0,0,0,0,0,20,FA2023,Simon Land
WCS 150,Rhetoric and Composition,30L,21,3.41,0.33,3.33,43,57,0,0,0,0,0,0,0,21,FA2023,Marilyn Plumlee
WCS 150,Rhetoric and Composition,31L,20,3.12,0.55,3.00,30,60,10,0,0,0,0,0,0,20,FA2023,Yamen Rahvan
WCS 150,Rhetoric and Composition,33L,20,3.23,0.82,3.33,45,50,0,0,5,0,0,0,0,20,FA2023,Carlos Abaunza
WCS 150,Rhetoric and Composition,34L,19,3.02,0.86,3.00,20,65,5,0,5,0,0,0,5,20,FA2023,Yamen Rahvan
WCS 200,Introduction to Public Speaking,1L,23,3.30,0.32,3.33,25,71,0,0,0,0,0,0,4,24,FA2023,Samira Esat
WCS 200,Introduction to Public Speaking,2L,23,3.13,0.46,3.33,17,71,8,0,0,0,0,0,4,24,FA2023,Samira Esat
WCS 200,Introduction to Public Speaking,3L,21,3.36,0.41,3.33,33,46,8,0,0,0,0,0,13,24,FA2023,Thomas Duke
WCS 200,Introduction to Public Speaking,4L,25,3.40,0.39,3.33,36,60,4,0,0,0,0,0,0,25,FA2023,Thomas Carl Hughes
WCS 200,Introduction to Public Speaking,5L,23,3.22,0.61,3.33,29,58,4,4,0,0,0,0,4,24,FA2023,Thomas Duke
WCS 200,Introduction to Public Speaking,7L,24,3.38,0.28,3.33,38,63,0,0,0,0,0,0,0,24,FA2023,Samira Esat
WCS 210,Writing,1L,24,2.98,0.81,3.33,8,79,8,0,4,0,0,0,0,24,FA2023,Shane Coates
WCS 210,Writing,2L,24,3.03,0.50,3.17,21,58,21,0,0,0,0,0,0,24,FA2023,Shane Coates
WCS 210,Writing,3L,24,3.07,0.74,3.33,13,75,8,0,4,0,0,0,0,24,FA2023,Thomas Duke
WCS 210,Writing,5L,22,3.09,0.54,3.17,25,54,13,0,0,0,0,0,8,24,FA2023,Christina Decoursey
WCS 150,Rhetoric and Composition,16L,19,3.26,0.42,3.33,30,60,5,0,0,0,0,0,5,20,FA2023,Jane Hoelker
WCS 150,Rhetoric and Composition,17L,20,2.83,0.51,3.00,0,70,30,0,0,0,0,0,0,20,FA2023,Thomas Carl Hughes
WCS 150,Rhetoric and Composition,18L,20,2.87,0.87,3.17,15,65,15,0,5,0,0,0,0,20,FA2023,Derek Hopper
WCS 150,Rhetoric and Composition,20L,20,3.00,0.39,3.00,10,85,5,0,0,0,0,0,0,20,FA2023,Thomas Carl Hughes
WCS 150,Rhetoric and Composition,22L,20,2.95,0.51,3.00,15,70,15,0,0,0,0,0,0,20,FA2023,Kirk Peterson
WCS 150,Rhetoric and Composition,23L,20,3.30,0.87,3.50,50,40,5,0,5,0,0,0,0,20,FA2023,Kevin Phillips
WCS 150,Rhetoric and Composition,24L,21,3.33,0.28,3.33,33,67,0,0,0,0,0,0,0,21,FA2023,Kevin Phillips
WCS 150,Rhetoric and Composition,25L,19,3.17,0.80,3.33,25,65,0,0,5,0,0,0,5,20,FA2023,Carlos Abaunza
WCS 150,Rhetoric and Composition,26L,19,3.28,0.34,3.33,20,70,5,0,0,0,0,0,5,20,FA2023,Simon Land
WCS 150,Rhetoric and Composition,27L,20,3.35,0.44,3.33,35,60,5,0,0,0,0,0,0,20,FA2023,Simon Land
WCS 150,Rhetoric and Composition,28L,20,3.20,0.64,3.33,40,45,10,5,0,0,0,0,0,20,FA2023,Carlos Abaunza
WCS 150,Rhetoric and Composition,29L,20,3.17,0.38,3.33,20,75,5,0,0,0,0,0,0,20,FA2023,Simon Land
WCS 150,Rhetoric and Composition,30L,21,3.41,0.33,3.33,43,57,0,0,0,0,0,0,0,21,FA2023,Marilyn Plumlee
WCS 150,Rhetoric and Composition,31L,20,3.12,0.55,3.00,30,60,10,0,0,0,0,0,0,20,FA2023,Yamen Rahvan
WCS 150,Rhetoric and Composition,33L,20,3.23,0.82,3.33,45,50,0,0,5,0,0,0,0,20,FA2023,Carlos Abaunza
WCS 150,Rhetoric and Composition,34L,19,3.02,0.86,3.00,20,65,5,0,5,0,0,0,5,20,FA2023,Yamen Rahvan
WCS 200,Introduction to Public Speaking,1L,23,3.30,0.32,3.33,25,71,0,0,0,0,0,0,4,24,FA2023,Samira Esat
WCS 200,Introduction to Public Speaking,2L,23,3.13,0.46,3.33,17,71,8,0,0,0,0,0,4,24,FA2023,Samira Esat
WCS 200,Introduction to Public Speaking,3L,21,3.36,0.41,3.33,33,46,8,0,0,0,0,0,13,24,FA2023,Thomas Duke
WCS 200,Introduction to Public Speaking,4L,25,3.40,0.39,3.33,36,60,4,0,0,0,0,0,0,25,FA2023,Thomas Carl Hughes
WCS 200,Introduction to Public Speaking,5L,23,3.22,0.61,3.33,29,58,4,4,0,0,0,0,4,24,FA2023,Thomas Duke
WCS 200,Introduction to Public Speaking,7L,24,3.38,0.28,3.33,38,63,0,0,0,0,0,0,0,24,FA2023,Samira Esat
WCS 210,Writing,1L,24,2.98,0.81,3.33,8,79,8,0,4,0,0,0,0,24,FA2023,Shane Coates
WCS 210,Writing,2L,24,3.03,0.50,3.17,21,58,21,0,0,0,0,0,0,24,FA2023,Shane Coates
WCS 210,Writing,3L,24,3.07,0.74,3.33,13,75,8,0,4,0,0,0,0,24,FA2023,Thomas Duke
WCS 210,Writing,5L,22,3.09,0.54,3.17,25,54,13,0,0,0,0,0,8,24,FA2023,Christina Decoursey
WCS 210,Writing,6L,24,3.08,0.37,3.33,4,92,4,0,0,0,0,0,0,24,FA2023,Bakhtiar Naghdipour
WCS 210,Writing,7L,24,2.81,1.00,3.17,13,71,4,4,8,0,0,0,0,24,FA2023,Dennis Balint
WCS 210,Writing,8L,23,2.99,0.55,3.00,21,63,13,0,0,0,0,0,4,24,FA2023,Christina Decoursey
WCS 210,Writing,9L,24,3.07,0.53,3.00,21,67,13,0,0,0,0,0,0,24,FA2023,Christina Decoursey
WCS 210,Writing,10L,22,2.89,0.67,3.00,17,54,21,0,0,0,0,0,8,24,FA2023,Christina Decoursey
WCS 210,Writing,11L,25,3.17,0.48,3.33,24,72,0,4,0,0,0,0,0,25,FA2023,Thomas Duke
WCS 210,Writing,12L,24,3.28,0.29,3.33,17,79,4,0,0,0,0,0,0,24,FA2023,Bakhtiar Naghdipour
WCS 230,Academic Writing,1L,24,2.96,0.66,3.00,20,60,12,4,0,0,0,0,4,25,FA2023,Jeffrey Carney
WCS 230,Academic Writing,2L,20,3.20,0.61,3.00,33,42,8,0,0,0,0,0,17,24,FA2023,Jeffrey Carney
WCS 230,Academic Writing,3L,24,2.81,0.89,3.00,16,60,8,8,4,0,0,0,4,25,FA2023,Jeffrey Carney
WCS 230,Academic Writing,4L,24,3.24,0.98,3.50,50,38,4,4,4,0,0,0,0,24,FA2023,Marilyn Plumlee
WCS 230,Academic Writing,5L,24,3.14,0.70,3.33,29,58,4,8,0,0,0,0,0,24,FA2023,Marilyn Plumlee
WCS 240,Writing for Digital Media,1L,23,2.58,0.77,2.67,4,58,29,0,4,0,0,0,4,24,FA2023,Brandon Brock
WCS 240,Writing for Digital Media,2L,22,2.89,0.76,3.00,8,67,13,0,4,0,0,0,8,24,FA2023,Brandon Brock
WCS 240,Writing for Digital Media,3L,22,3.35,0.48,3.33,38,46,8,0,0,0,0,0,8,24,FA2023,James Swider
WCS 240,Writing for Digital Media,4L,24,3.22,0.61,3.33,33,58,4,4,0,0,0,0,0,24,FA2023,James Swider
WCS 250,Composition,1L,24,3.19,0.76,3.33,42,38,21,0,0,0,0,0,0,24,FA2023,Inzhuna Karazhanova
WCS 390,Practice,1L,12,3.42,1.11,3.67,83,8,0,0,8,0,0,0,0,12,FA2023,Kirk Peterson
WCS 210,Writing,6L,24,3.08,0.37,3.33,4,92,4,0,0,0,0,0,0,24,FA2023,Bakhtiar Naghdipour
WCS 210,Writing,7L,24,2.81,1.00,3.17,13,71,4,4,8,0,0,0,0,24,FA2023,Dennis Balint
WCS 210,Writing,8L,23,2.99,0.55,3.00,21,63,13,0,0,0,0,0,4,24,FA2023,Christina Decoursey
WCS 210,Writing,9L,24,3.07,0.53,3.00,21,67,13,0,0,0,0,0,0,24,FA2023,Christina Decoursey
WCS 210,Writing,10L,22,2.89,0.67,3.00,17,54,21,0,0,0,0,0,8,24,FA2023,Christina Decoursey
WCS 210,Writing,11L,25,3.17,0.48,3.33,24,72,0,4,0,0,0,0,0,25,FA2023,Thomas Duke
WCS 210,Writing,12L,24,3.28,0.29,3.33,17,79,4,0,0,0,0,0,0,24,FA2023,Bakhtiar Naghdipour
WCS 230,Academic Writing,1L,24,2.96,0.66,3.00,20,60,12,4,0,0,0,0,4,25,FA2023,Jeffrey Carney
WCS 230,Academic Writing,2L,20,3.20,0.61,3.00,33,42,8,0,0,0,0,0,17,24,FA2023,Jeffrey Carney
WCS 230,Academic Writing,3L,24,2.81,0.89,3.00,16,60,8,8,4,0,0,0,4,25,FA2023,Jeffrey Carney
WCS 230,Academic Writing,4L,24,3.24,0.98,3.50,50,38,4,4,4,0,0,0,0,24,FA2023,Marilyn Plumlee
WCS 230,Academic Writing,5L,24,3.14,0.70,3.33,29,58,4,8,0,0,0,0,0,24,FA2023,Marilyn Plumlee
WCS 240,Writing for Digital Media,1L,23,2.58,0.77,2.67,4,58,29,0,4,0,0,0,4,24,FA2023,Brandon Brock
WCS 240,Writing for Digital Media,2L,22,2.89,0.76,3.00,8,67,13,0,4,0,0,0,8,24,FA2023,Brandon Brock
WCS 240,Writing for Digital Media,3L,22,3.35,0.48,3.33,38,46,8,0,0,0,0,0,8,24,FA2023,James Swider
WCS 240,Writing for Digital Media,4L,24,3.22,0.61,3.33,33,58,4,4,0,0,0,0,0,24,FA2023,James Swider
WCS 250,Composition,1L,24,3.19,0.76,3.33,42,38,21,0,0,0,0,0,0,24,FA2023,Inzhuna Karazhanova
WCS 390,Practice,1L,12,3.42,1.11,3.67,83,8,0,0,8,0,0,0,0,12,FA2023,Kirk Peterson
WCS 391,in Composition & Collaboration,1S,11,4.00,0.00,4.00,100,0,0,0,0,0,0,0,0,11,FA2023,Ti Wu
WCS 392,Mentorship,1S,6,4.00,0.00,4.00,100,0,0,0,0,0,0,0,0,6,FA2023,Adina-Camelia Arvatu
WLL 102/PHIL 102,"Language, Experience, Culture",1L,29,2.86,1.11,3.33,37,40,7,7,7,0,0,0,3,30,FA2023,James Nikopoulos
WLL 235/WCS 260,Creative Writing: Introduction to Fiction Writing I,1L,20,3.88,0.33,4.00,90,10,0,0,0,0,0,0,0,20,FA2023,Kevin Phillips
WLL 235/WCS 260,Creative Writing: Introduction to Fiction Writing I,2L,20,3.20,0.42,3.33,25,70,5,0,0,0,0,0,0,20,FA2023,Jonathan Dupuy
WLL 385/ANT 385,Postcolonial Theory and its Applications in Eurasia,1L,16,3.40,0.63,3.50,40,35,5,0,0,0,0,0,20,20,FA2023,Alima Bissenova
WLL 462/WCS 462,Creative Nonfiction,1S,16,3.67,0.47,3.83,81,19,0,0,0,0,0,0,0,16,FA2023,Maria Rybakova
WLL 465/WCS 465,Creative Writing: Autofiction,1S,15,2.73,1.08,3.33,13,60,13,7,7,0,0,0,0,15,FA2023,Jonathan Dupuy
WLL 465/WCS 465,Creative Writing: Autofiction,2S,15,3.05,0.75,3.33,40,33,27,0,0,0,0,0,0,15,FA2023,Jonathan Dupuy
WLL 469/WCS 469,Independent Study in Creative Writing,1IS,0,,,,0,0,0,0,0,100,0,0,0,1,FA2023,Jonathan Dupuy
NUR 101,Human Anatomy and Physiology,1L,6,2.83,0.89,2.67,29,14,43,0,0,0,0,0,14,7,SP2024,"Lyazzat Toleubekova, Nancy Stitt"
NUR 102L,Human Anatomy and Physiology,1L,6,2.17,0.50,2.17,0,14,71,0,0,0,0,0,14,7,SP2024,"Nancy Stitt, Srinivasa Bolla"
NUR 121,Introduction to Basic Statistics,1L,12,3.42,0.48,3.50,50,42,8,0,0,0,0,0,0,12,SP2024,Arnur Gusmanov
NUR 122,English-Russian-Kazakh,1L,3,3.00,0.58,2.67,33,67,0,0,0,0,0,0,0,3,SP2024,"Nancy Stitt, Ainetta Nurmagambetova, Ruslan Bilal"
NUR 202,Introduction to Genetics and,1L,3,3.33,0.34,3.33,33,67,0,0,0,0,0,0,0,3,SP2024,"Nancy Stitt, Agata Natasza Burska, Assem Zhakupova"
NUR 212,Foundations of Nursing Practice,1L,3,3.44,0.20,3.33,33,67,0,0,0,0,0,0,0,3,SP2024,"Paolo Colet, Nancy Stitt, Joseph Almazan"
NUR 213,Medical-Surgical Nursing I:,1L,3,3.56,0.20,3.67,67,33,0,0,0,0,0,0,0,3,SP2024,"Paolo Colet, Nancy Stitt, Joseph Almazan"
NUR 305,Research Methods for Nursing,1L,25,2.55,0.48,2.67,0,56,44,0,0,0,0,0,0,25,SP2024,"Nancy Stitt, Jonas Cruz"
NUR 306,Medical-Surgical Nursing:,1L,25,3.48,0.40,3.33,44,56,0,0,0,0,0,0,0,25,SP2024,"Nancy Stitt, Joseph Almazan"
NUR 307,Health Promotion and Disease,1L,25,3.24,0.38,3.33,24,72,4,0,0,0,0,0,0,25,SP2024,"Paolo Colet, Nancy Stitt, Alma Syzdykova"
NUR 308,Enhanced Communication in,1L,25,2.57,0.61,2.67,8,44,44,4,0,0,0,0,0,25,SP2024,"Nancy Stitt, Anargul Kuntuganova, Alma Syzdykova"
