course_code,course_title,section,grades_count,avg_gpa,std_dev,median_gpa,pct_A,pct_B,pct_C,pct_D,pct_F,pct_P,pct_I,pct_AU,pct_W_AW,letters_count,term,faculty
ELCE 461,Industrial Automation,1L,27,3.21,1.02,3.67,55.6,29.6,7.4,3.7,3.7,0.0,0.0,0.0,,27,SP2026,AinurRakhymbay
ELCE 461,Industrial Automation,1L,27,3.21,1.02,3.67,55.6,29.6,7.4,3.7,3.7,0.0,0.0,0.0,,27,SP2026,Mehdi Shafiee
ELCE 461,Industrial Automation,1L,27,3.21,1.02,3.67,55.6,29.6,7.4,3.7,3.7,0.0,0.0,0.0,,27,SP2026,AinurRakhymbay
ELCE 461,Industrial Automation,1L,27,3.21,1.02,3.67,55.6,29.6,7.4,3.7,3.7,0.0,0.0,0.0,,27,SP2026,Mehdi Shafiee
ELCE 468,Robots For Rehabilitation,1L,14,3.53,0.47,3.67,78.6,14.3,7.1,0.0,0.0,0.0,0.0,0.0,,14,SP2026,Prashant Jamwal
ELCE 486,Photonics for Engineering,1L,37,3.95,0.15,4.0,97.3,2.7,0.0,0.0,0.0,0.0,0.0,0.0,,37,SP2026,Daniele Tosi
ENG 101,Programming for Engineers,1L,93,3.2,0.89,3.33,47.4,37.9,8.4,0.0,4.2,0.0,0.0,0.0,,95,SP2026,ArailymSerikbay
ENG 102,Engineering Materials I,1L,71,3.05,0.61,3.0,21.9,63.0,11.0,0.0,1.4,0.0,0.0,0.0,,73,SP2026,Chang Shon
ENG 102,Engineering Materials I,2L,90,3.12,0.57,3.0,17.4,69.6,9.8,0.0,1.1,0.0,0.0,0.0,,92,SP2026,Asma Perveen
ENG 103,Engineering Materials II,1L,85,2.83,0.77,3.0,16.5,57.6,21.2,2.4,2.4,0.0,0.0,0.0,,85,SP2026,Annie Ng
ENG 103,Engineering Materials II,1L,85,2.83,0.77,3.0,16.5,57.6,21.2,2.4,2.4,0.0,0.0,0.0,,85,SP2026,Nurxat Nuraje
ENG 103,Engineering Materials II,2L,54,2.65,0.92,2.84,14.3,42.9,32.1,1.8,5.4,0.0,0.0,0.0,,56,SP2026,Annie Ng
ENG 103,Engineering Materials II,2L,54,2.65,0.92,2.84,14.3,42.9,32.1,1.8,5.4,0.0,0.0,0.0,,56,SP2026,Nurxat Nuraje
ENG 201,Applied Probability andStatistics,1L,58,2.42,0.94,2.33,9.2,33.8,32.3,10.8,3.1,0.0,0.0,0.0,,65,SP2026,ElnaraKussinova
ENG 201,Applied Probability andStatistics,2L,27,2.99,0.92,3.33,44.4,25.9,22.2,7.4,0.0,0.0,0.0,0.0,,27,SP2026,Aishuak Konarov
ENG 201,Applied Probability andStatistics,3L,74,3.26,0.65,3.33,45.9,39.2,12.2,2.7,0.0,0.0,0.0,0.0,,74,SP2026,Yerkin Abdildin
ENG 201,Applied Probability andStatistics,4L,36,3.45,0.72,3.67,69.4,13.9,16.7,0.0,0.0,0.0,0.0,0.0,,36,SP2026,Behrouz Maham
ENG 201,Applied Probability andStatistics,5L,40,3.58,0.6,3.67,75.0,20.0,2.5,2.5,0.0,0.0,0.0,0.0,,40,SP2026,Behrouz Maham
