course_code,course_title,section,grades_count,avg_gpa,std_dev,median_gpa,pct_A,pct_B,pct_C,pct_D,pct_F,pct_P,pct_I,pct_AU,pct_W_AW,letters_count,term,faculty
CSCI 355,Compiler Construction,1L,20,1.8,1.39,1.67,13.0,17.4,17.4,17.4,21.7,0.0,0.0,0.0,13.0,23,FA2025,Jean MarieGuillaumeGerard deNivelle
CSCI 361,Software Engineering,1L,132,3.61,0.43,3.67,66.7,28.9,1.5,0.7,0.0,0.0,0.0,0.0,2.2,135,FA2025,AskarBoranbayev
CSCI 361,Software Engineering,2L,127,3.7,0.4,4.0,78.0,19.7,2.4,0.0,0.0,0.0,0.0,0.0,0.0,127,FA2025,AskarBoranbayev
CSCI 364,Software Architectureand Design,1L,43,2.78,0.67,3.0,15.6,44.4,31.1,4.4,0.0,0.0,0.0,0.0,4.4,45,FA2025,Marko Ristin
CSCI 390,Artificial Intelligence,1L,92,2.74,0.71,3.0,10.5,54.7,27.4,3.2,1.1,0.0,0.0,0.0,3.2,95,FA2025,Anh Tu Nguyen
CSCI 390,Artificial Intelligence,2L,93,2.82,0.71,3.0,14.0,60.2,20.4,4.3,1.1,0.0,0.0,0.0,0.0,93,FA2025,Minho Lee
CSCI 390,Artificial Intelligence,3L,79,3.01,0.67,3.0,17.5,66.2,12.5,1.2,1.2,0.0,0.0,0.0,1.2,80,FA2025,Khalil Khan
CSCI 393,Introduction to NaturalLanguage Processing,1L,43,3.02,0.75,3.33,22.4,44.9,18.4,0.0,2.0,0.0,0.0,8.2,4.1,49,FA2025,Lisa Chalaguine
CSCI 408,Senior Project I,1L,235,3.79,0.23,3.67,91.5,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,236,FA2025,AskarBoranbayev
CSCI 408,Senior Project I,1L,235,3.79,0.23,3.67,91.5,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,236,FA2025,Enver Ever
CSCI 423,Introduction to ParallelSystems and GPUProgramming,1L,19,3.32,0.56,3.33,42.9,38.1,9.5,0.0,0.0,0.0,0.0,0.0,9.5,21,FA2025,TalgatManglayev
CSCI 434,Information Security,1L,41,3.01,0.67,3.0,20.9,58.1,14.0,0.0,2.3,0.0,0.0,0.0,4.7,43,FA2025,Anwar Ghani
CSCI 437,Internet of Things:Technologies andApplications,1L,38,2.81,0.87,3.0,17.5,55.0,10.0,12.5,0.0,0.0,0.0,0.0,5.0,40,FA2025,DimitriosZormpas
