registrar_id,course_code,pre_req,anti_req,co_req,level,school,description,department,title,credits,term
8264,MBA 10,,,,GrM,GSB,The purpose of the course in strategy is to make participants familiar with the core concepts and techniques that function as foundations for formulating and implementing successful strategies.,GSB,Foundations of Strategy,6,Summer 2025
1825,BIOL 430,BIOL 230 Human Anatomy and Physiology I (72) (C and above) OR BIOL 230 Human Anatomy and Physiology I (6217) (C and above),,,UG,SSH,"Examination of basic histological and cytological techniques, including a comprehensive study of the ultrastructure of the eukaryotic animal cell.",Biological Science,Histology with Laboratory,8,Spring 2023
1427,PHYS 499,,,,UG,SSH,"This is a substantive research project assigned by a Physics Faculty supervisor. The project is to be concluded with a written Honors thesis, which is a comprehensive report on the research problem, background, experimental or theoretical results and analysis. The thesis is to be presented by the student in an open public setting and to be evaluated jointly by the project's supervisor and by another Physics Department faculty member.",Physics,Honors Thesis,6,Spring 2025
1887,BIOL 491,BIOL 490 Honors Thesis Research (1581) (C and above),,,UG,SSH,Research conducted under the direction of the thesis supervisor(s) culminates in the compilation of the research results in thesis format as prescribed by the Department of Biology and the defense of the thesis.,Biological Science,Honors Thesis,6,Fall 2025
8195,MSF 513a,,,,GrM,GSB,The Industry Insights Initiative is designed to provide GSB students with exposure to various industries and job functions through direct interaction with industry leaders.,GSB,Industry Insights Initiative,0,Summer 2025
8208,DUT 201,DUT 102 Beginning Dutch II (8073) (C- and above),,,UG,SSH,"This course is for medium advanced students. During the course we will focus on all 4 main skills of language-learning: reading, listening, writing and speaking, starting on level A2 and moving towards level B1.","Languages, Literature and Linguistics",Intermediate Dutch I,8,Spring 2026
207,ECON 202,ECON 102 Introduction to Macroeconomics (503) (B- and above) AND (MATH 161 Calculus I (118) (B- and above) OR MATH 162 Calculus II (170) (B- and above)),,,UG,SSH,n/a,Economics,Intermediate Macroeconomics,6,Spring 2025
8192,MPE 618,,,,GrM,GSPP,"Kazakhstan has ambitions to join the OECD and become one of the top 30 developed countries by 2050. To do this requires learning from international public sector reforms. This course will draw on best practice examples aimed at improving government efficiency, enhancing accountability and transparency, responding to increasing demands from citizens for better quality public services, and strengthening public sector leadership and capacity.",Master in Public Administration,International Public Sector Reforms,8,Spring 2026
2486,LING 274,,,,UG,SSH,This is an introductory course for undergraduate students specializing in WLL or in any area of specialization. No previous coursework in this field of inquiry is assumed.,"Languages, Literature and Linguistics",Introduction to Applied Linguistics,6,Spring 2026
115,CHEM 100,,,,UG,SSH,n/a,Chemistry,Introduction to Chemistry,6,Fall 2025
223,PLS 140,,,,UG,SSH,n/a,Political Science and International Relations,Introduction to Comparative Politics,6,Fall 2025
8240,CHEM 105,,,,UG,SSH,"To understand current environmental problems, we need to consider physical, biological and chemical processes that are often the basis of those problems. This course will give you the skills necessary to address the environmental issues we are facing today by examining scientific principles and the application of those principles to natural systems. This course will survey some of the many environmental science topics at an introductory level, ultimately considering the sustainability of human activities on the planet.",Chemistry,Introduction to Environmental Science,6,Spring 2025
511,PLS 150,,,,UG,SSH,n/a,Political Science and International Relations,Introduction to International Relations,6,Fall 2025
1394,LING 131,,,,UG,SSH,n/a,"Languages, Literature and Linguistics",Introduction to Linguistics,6,Fall 2025
244,WLL 110,,,,UG,SSH,n/a,"Languages, Literature and Linguistics",Introduction to Literary Studies,6,Fall 2025
503,ECON 102,,,,UG,SSH,n/a,Economics,Introduction to Macroeconomics,6,Fall 2025
379,ECON 101,,,,UG,SSH,n/a,Economics,Introduction to Microeconomics,6,Fall 2025
8202,MATH 677,,,,GrM,SSH,"The aim of this course is to provide students an introduction to nonlinear dispersive and wave equations, and the methods used to study the qualitative properties of their solutions. These equations arise as fundamental models of a wide variety of physical systems, including the propagation of waves and the study of nonlinear optics, and are closely related to models of fluids, as well as a number of aspects of statistical and quantum mechanics.",Mathematics,Introduction to Nonlinear Dispersive and Wave Equations,8,Spring 2025
6248,PHYS 770,,,,PhD,SSH,"This course aims to teach basics of semiconductor physics and optoelectronic devices based on semiconductors. 

",Physics,Introduction to Optoelectronics,8,Spring 2023
513,PLS 101,,,,UG,SSH,n/a,Political Science and International Relations,Introduction to Political Science,6,Fall 2025
512,PLS 120,,,,UG,SSH,n/a,Political Science and International Relations,Introduction to Political Theory,6,Fall 2025
488,PHYS 270,(CSCI 150 Fundamentals of Programming (1501) (C- and above) OR CSCI 151 Programming for Scientists and Engineers (192) (C- and above) OR CSCI 115 Programming Fundamentals (5257) (C- and above)) AND MATH 263 Calculus III (81) (C- and above),,MATH 273 Linear Algebra with Applications (84) (D and above),UG,SSH,"This course covers computational and data analysis techniques for scientific and engineering problems, including numerical methods, system simulations, statistical analysis, and machine learning basics.",Physics,Introduction to Scientific Computing and Data Analysis,6,Spring 2025
1894,PHYS 202,PHYS 162 Physics II for Scientists and Engineers with Laboratory (173) (C- and above),,,UG,SSH,This course presents an overview of introductory-level astrophysics for general science and non-science majors. ,Physics,Introductory Astrophysics,6,Spring 2025
145,BIOL 101,,BIOL 110 Modern Biology I (1070) (C- and above),,UG,SSH,"The course introduces basic concepts of biology including molecular biology, genetics, basics of human anatomy and physiology, evolution, ecology and modern biotechnology for non-science majors. The overview aims to develop in students critical thinking and scientific reasoning applied to biology in their everyday life and in the different fields of their main study areas. Many new discoveries are the result of integrated knowledge, and understanding the basis of life is a bonus for future professionals. ",Biological Science,Introductory Biology,6,Fall 2025
2159,KAZ 364,"KAZ 202 Academic Kazakh II (4562) (C- and above) OR KLL ""[C1.1] Advanced""",,,UG,SSH,This course will concentrate on knowledge of Official Kazakh language standards that students began to learn in the Upper-Intermediate and Advanced levels of Kazakh language.,Kazakh Language and Turkic Studies,Kazakh for Civil Service,6,Fall 2024
